[INFO] 2020-09-14 11:11:43,922  Receive Msg: listen_port 9003

[INFO] 2020-09-14 11:11:44,030  Renix api initialization finished
[INFO] 2020-09-14 11:11:47,085  create ports with location:
[INFO] 2020-09-14 11:11:48,836  StreamPortConfig_1 has lower: InterFrameGapProfile_1
[INFO] 2020-09-14 11:11:48,843  StreamPortConfig_2 has lower: InterFrameGapProfile_2
[INFO] 2020-09-14 11:11:48,872  port(//192.168.0.180/1/1) create streams
[INFO] 2020-09-14 11:11:49,149  port(//192.168.0.180/1/2) create streams
[INFO] 2020-09-14 11:11:49,838  EthCopper_1 has lower: EthCopperConfig_1
[INFO] 2020-09-14 11:11:49,840  EthCopper_2 has lower: EthCopperConfig_2
[INFO] 2020-09-14 11:11:49,843  EthCopper_2 has lower: EthCopperConfig_2
[INFO] 2020-09-14 11:11:49,845  EthCopper_1 has lower: EthCopperConfig_1
[INFO] 2020-09-14 11:11:50,013  PageResultView_1 has lower: ResultQuery_1
[INFO] 2020-09-14 11:12:06,014  ResultQuery_1 has lower: StreamBlockStats_1 StreamBlockStats_2
[INFO] 2020-09-14 11:12:06,135  [test pass] [sourceMacAdd=00:00:00:11:11:11] rx packet (10172)is  equal to tx packets (10172)
[INFO] 2020-09-14 11:12:06,143  [test pass] [sourceMacAdd=00:00:00:22:22:21] rx packet (101716)is  equal to tx packets (101716)
[INFO] 2020-09-14 11:12:06,144  close connection to CL
