[INFO] 2020-08-26 10:57:31,087  192.168.0.181 登录成功
[INFO] 2020-08-26 10:57:33,107  配置mapping_mode为vlan
[INFO] 2020-08-26 10:57:35,222  线路模板:mapping_mode设置成vlan正常
[INFO] 2020-08-26 10:57:37,245  线路模板:配置gem mapping 为2000成功
[INFO] 2020-08-26 10:57:37,261  线路模板:配置gem mapping 为3000成功
[INFO] 2020-08-26 10:57:37,262  线路模板:配置gem mapping 为[2000, 3000]成功
[INFO] 2020-08-26 10:57:37,265  配置mapping_mode为vlan+pri
[INFO] 2020-08-26 10:57:39,393  线路模板:mapping_mode设置成vlan+pri正常
[INFO] 2020-08-26 10:57:39,421  线路模板:配置gem mapping 为vlan 2000+pri 2成功
[ERROR] 2020-08-26 10:57:39,442  线路模板:配置gem mapping 为vlan 3000+pri 4失败
