[INFO] 2020-08-26 10:54:45,372  192.168.0.181 登录成功
[INFO] 2020-08-26 10:54:47,396  配置mapping_mode为vlan
[INFO] 2020-08-26 10:54:49,520  线路模板:mapping_mode设置成vlan正常
[INFO] 2020-08-26 10:54:51,539  线路模板:配置gem mapping 为2000成功
[INFO] 2020-08-26 10:54:51,558  线路模板:配置gem mapping 为3000成功
[INFO] 2020-08-26 10:54:51,558  线路模板:配置gem mapping 为[2000, 3000]成功
[INFO] 2020-08-26 10:54:51,562  配置mapping_mode为vlan+pri
[INFO] 2020-08-26 10:54:53,676  线路模板:mapping_mode设置成vlan+pri正常
[ERROR] 2020-08-26 10:54:53,700  线路模板:配置gem mapping 为vlan 2000+pri 2失败
