[INFO] 2020-08-26 10:55:29,370  192.168.0.181 登录成功
[INFO] 2020-08-26 10:55:31,389  配置mapping_mode为vlan
[INFO] 2020-08-26 10:55:33,485  线路模板:mapping_mode设置成vlan正常
[INFO] 2020-08-26 10:55:35,507  线路模板:配置gem mapping 为2000成功
[INFO] 2020-08-26 10:55:35,523  线路模板:配置gem mapping 为3000成功
[INFO] 2020-08-26 10:55:35,523  线路模板:配置gem mapping 为[2000, 3000]成功
[INFO] 2020-08-26 10:55:35,526  配置mapping_mode为vlan+pri
[INFO] 2020-08-26 10:55:37,627  线路模板:mapping_mode设置成vlan+pri正常
[INFO] 2020-08-26 10:55:37,650  线路模板:配置gem mapping 为vlan 2000+pri 2成功
[INFO] 2020-08-26 10:55:37,650  线路模板:配置gem mapping 为vlan +pri [('2000', '2')]成功
