[INFO] 2020-08-26 10:56:53,070  192.168.0.181 登录成功
[INFO] 2020-08-26 10:56:55,092  配置mapping_mode为vlan
[INFO] 2020-08-26 10:56:57,204  线路模板:mapping_mode设置成vlan正常
[INFO] 2020-08-26 10:56:59,227  线路模板:配置gem mapping 为2000成功
[INFO] 2020-08-26 10:56:59,287  线路模板:配置gem mapping 为3000成功
[INFO] 2020-08-26 10:56:59,287  线路模板:配置gem mapping 为[2000, 3000]成功
[INFO] 2020-08-26 10:56:59,291  配置mapping_mode为vlan+pri
[INFO] 2020-08-26 10:57:01,438  线路模板:mapping_mode设置成vlan+pri正常
[INFO] 2020-08-26 10:57:01,461  线路模板:配置gem mapping 为vlan 2000+pri 2成功
[INFO] 2020-08-26 10:57:01,461  线路模板:配置gem mapping 为vlan +pri [(2000, 2)]成功
